author,key,affiliation
A Min Tjoa,conf/icde/SchreflTW84|conf/icde/EsmayrKPPT96|conf/dolap/MangisengiT98|conf/er/TjoaB93|conf/er/TjoaW79|conf/er/EderK86|conf/er/PernulT91|conf/er/PernulWT93|conf/dexaw/KirkgozeKST97,Carson-Newman College
A. A. Kaposi,journals/cj/MarkuszK85,Kabarak University
A. A. Stogniy,conf/mfdbs/MalyutaPS89,Omsk State Agrarian University
A. Amikam,journals/is/Amikam85,Centro Regional Universitário de Espiríto Santo do Pinhal
A. Andreassian,conf/icdcs/NoeA87,Macon State College
A. B. Stephens,journals/tkde/StephensYH94,Silliman University
A. Baden,conf/ssdbm/GrossmanQVXDLMQMLMPBCLLNSS94,Louisiana Baptist University
A. Balaraman,conf/er/NavatheB91,University of La Verne
A. Bendell,journals/cj/SamsonB85,Aarhus University
A. Bensoussan,journals/cacm/BensoussanCD72,Free University Stockholm
A. Bilodeau,conf/icse/PotierAFB82,Kanpur University
A. Birnie,conf/pos/AtkinsonBJP92,Universidad Argentina de la Empresa
A. Bradier,conf/parle/Gonzalez-RubioRB87,Universidade do Rio Grande
A. Braun,conf/gis/BrinkhoffKSB95,"COMSATS Institute of Information Technology, Lahore"
A. Bruffaerts,conf/iclp/BruffaertsH88,Saratov State Medical University
A. C. McKellar,journals/cacm/McKellarC69,Belarussian State Polytechnical Academy
A. Carlisle Scott,journals/aim/SuwaSS82,Wittenberg University
A. Cheng,conf/er/NavatheC83,St. Anselm College
A. Chesnais,journals/cacm/ChesnaisGM83,Alvernia College
A. Christensen,conf/vldb/ChristensenZ87,"Shobhit University, Meerut"
A. D. Smet,conf/icde/BelfordLCCEGHKKLMMSYZRL84,Kongju National University of Education
A. Datta,conf/ssdbm/FournierHO86,Chongqing Normal University Foreign Trade and Business College
A. Desai Narasimhalu,journals/mms/WuALLN94|journals/mms/WuNMLG95|journals/mta/WuLMGN96|journals/mta/NarasimhaluKW97|journals/computer/NarasimhaluC91|journals/ieeemm/WuN94|conf/vdb/LeongSN89|conf/mm/WuALMN93,Khurasan University
A. Diekmann,conf/efdbs/HodingSCSBDHSST99,Preston University
A. E. Eiben,conf/mfdbs/Eiben89,Kerala University of Fisheries and Ocean Sciences
A. E. Lang,journals/tkde/AgrawalAL94|conf/icde/AgrawalAL91,Indiana University (System)
A. E. Oldhoeft,conf/isca/RichardsO74,Illinois School of Professional Psychology - Meadows Campus
A. Eiger,conf/icde/DecorteEKK92,School of Business and Finance
A. F. Lewit,conf/sigir/BuckleyL85,Universidad del Valle de Guatemala
A. F. Umar Khan,journals/aim/SenatorGWCKKLMW95,CETYS Universidad
A. Fedeli,conf/ds/BracchiFP74,Silesian Technical University of Gliwice
A. Fukuda,journals/ijmms/TokudaF93,Universidad Hispanoamericana
A. G. Shved,conf/adbis/VetoshkinGCS94,Carleton University
A. Goralciková,conf/mfcs/GoralcikovaK79,Vologda State Pedagogical University
A. Gunton,journals/cj/Gunton70,Cape Peninsula University of Technology
A. H. G. Rinnooy Kan,journals/cacm/LagewegLK82,Central Saint Martins College of Art & Design
A. Inkeri Verkamo,journals/datamine/MannilaTV97|conf/pkdd/AhonenHKV97|conf/cikm/KlemettinenMRTV94|conf/kdd/MannilaTV95|conf/kdd/MannilaTV94|conf/sigmetrics/Verkamo85,Medaille College
A. J. Cole,journals/spe/ColeM82,Shanghai Television University
A. J. G. Babu,journals/tods/RameshBK89,Duksung Women's University
A. J. Herbert,journals/sigops/NeedhamHM83,Mazandaran University of Science & Technology
A. J. Kfoury,conf/lics/KfouryTU87|conf/caap/KfouryTU90|conf/stoc/KfouryTU90,Universidad Los Angeles de Chimbote
A. J. M. van Gasteren,journals/ipl/DijkstraFG83,Korea National University of Education
