author,key
A Min Tjoa,conf/icde/SchreflTW84|conf/icde/EsmayrKPPT96|conf/dolap/MangisengiT98|conf/er/TjoaB93|conf/er/TjoaW79|conf/er/EderK86|conf/er/PernulT91|conf/er/PernulWT93|conf/dexaw/KirkgozeKST97
A. A. Kaposi,journals/cj/MarkuszK85
A. A. Stogniy,conf/mfdbs/MalyutaPS89
A. Amikam,journals/is/Amikam85
A. Andreassian,conf/icdcs/NoeA87
A. B. Stephens,journals/tkde/StephensYH94
A. Baden,conf/ssdbm/GrossmanQVXDLMQMLMPBCLLNSS94
A. Balaraman,conf/er/NavatheB91
A. Bendell,journals/cj/SamsonB85
A. Bensoussan,journals/cacm/BensoussanCD72
A. Bilodeau,conf/icse/PotierAFB82
A. Birnie,conf/pos/AtkinsonBJP92
A. Bradier,conf/parle/Gonzalez-RubioRB87
A. Braun,conf/gis/BrinkhoffKSB95
A. Bruffaerts,conf/iclp/BruffaertsH88
A. C. McKellar,journals/cacm/McKellarC69
A. Carlisle Scott,journals/aim/SuwaSS82
A. Cheng,conf/er/NavatheC83
A. Chesnais,journals/cacm/ChesnaisGM83
A. Christensen,conf/vldb/ChristensenZ87
A. D. Smet,conf/icde/BelfordLCCEGHKKLMMSYZRL84
A. Datta,conf/ssdbm/FournierHO86
A. Desai Narasimhalu,journals/mms/WuALLN94|journals/mms/WuNMLG95|journals/mta/WuLMGN96|journals/mta/NarasimhaluKW97|journals/computer/NarasimhaluC91|journals/ieeemm/WuN94|conf/vdb/LeongSN89|conf/mm/WuALMN93
A. Diekmann,conf/efdbs/HodingSCSBDHSST99
A. E. Eiben,conf/mfdbs/Eiben89
A. E. Lang,journals/tkde/AgrawalAL94|conf/icde/AgrawalAL91
A. E. Oldhoeft,conf/isca/RichardsO74
A. Eiger,conf/icde/DecorteEKK92
A. F. Lewit,conf/sigir/BuckleyL85
A. F. Umar Khan,journals/aim/SenatorGWCKKLMW95
A. Fedeli,conf/ds/BracchiFP74
A. Fukuda,journals/ijmms/TokudaF93
A. G. Shved,conf/adbis/VetoshkinGCS94
A. Goralciková,conf/mfcs/GoralcikovaK79
A. Gunton,journals/cj/Gunton70
A. H. G. Rinnooy Kan,journals/cacm/LagewegLK82
A. Inkeri Verkamo,journals/datamine/MannilaTV97|conf/pkdd/AhonenHKV97|conf/cikm/KlemettinenMRTV94|conf/kdd/MannilaTV95|conf/kdd/MannilaTV94|conf/sigmetrics/Verkamo85
A. J. Cole,journals/spe/ColeM82
A. J. G. Babu,journals/tods/RameshBK89
A. J. Herbert,journals/sigops/NeedhamHM83
A. J. Kfoury,conf/lics/KfouryTU87|conf/caap/KfouryTU90|conf/stoc/KfouryTU90
A. J. M. van Gasteren,journals/ipl/DijkstraFG83
A. J. Mayo,journals/sigops/WilkinsonACHMVWW81
A. James Baroody Jr.,journals/tods/BaroodyD81|journals/tse/BaroodyD82
A. John Hurst,conf/pos/HurstS89
A. Joseph Rockmore,journals/aim/NiiFAR82
A. Khivesera,conf/sigmod/BaulierBGGHJKKMMNNRSSSWW99
A. Kramar,conf/ssdbm/WartelleKJK83
A. Krishnamurthy,conf/icmcs/ChenKLV95
A. L. Davis,conf/isca/Davis78
A. L. Narasimha Reddy,conf/icde/ReddyB87|journals/computer/ReddyW94|journals/tc/ReddyB89|journals/tpds/ReddyB90|conf/mm/ReddyW93|conf/icmcs/Reddy95|conf/icdcs/ChandyR93
A. L. Wilkinson,journals/sigops/WilkinsonACHMVWW81
A. L. Wong,conf/focs/BernLW85
A. Lee,conf/vldb/TsichritzisCEFLLVW83
A. M. Awong,conf/er/NavatheA87
A. M. Gilbert,conf/vldb/ChamberlinGY81
A. M. Glorieux,conf/er/EsculierG79|conf/ddb/LitwinBEFGCKMRS82
A. M. J. Lane,conf/ssdbm/LaneP98
A. M. Pegna,journals/ita/LeviP83
A. M. R. Smith,journals/cj/SmithLH83
A. Mahanti,journals/jacm/MahantiB85
A. Mahboob,conf/sigmod/AgrawalCFGHIIMMSS94
A. Malpani,journals/cj/AgrawalM91
A. Mecchia,conf/pods/SaccaMM84|journals/debu/SaccaDMPGN87
A. Metaxides,conf/ds/Metaxides75
A. Michael,conf/pods/FischerM82
A. Miyagawa,conf/icde/MiyagawaITN84
A. Moon,conf/icde/BelfordLCCEGHKKLMMSYZRL84
A. Mounir Alaoui,conf/ijcai/GhallabA89
A. Mustaro,conf/icdt/AsirelliIM88
A. N. Bogacheva,conf/adbis/BogachevaE94|conf/adbis/BogachevaER95
A. N. Staylopatis,conf/mfdbs/VegaPS91
A. N. W. Dahanayake,conf/er/DahanayakeSD97
A. Neil Arnason,conf/ssdbm/ScuseA83
A. Nico Habermann,journals/cacm/HabermannFC76|conf/oopsla/LernerH90
A. O. Slisenko,conf/mfcs/Slisenko78
A. P. G. Brown,conf/ds/Brown75
A. P. M. Coxon,conf/pkdd/ScottCHW97
A. P. Manolas,conf/icde/BelfordLCCEGHKKLMMSYZRL84
A. P. Romanov,conf/adbis/BogachevaER95
A. Pan,journals/siamcomp/SpiraP75
A. Pathria,journals/tois/ChristodoulakisTHPP86
A. Prasad Sistla,journals/debu/SistlaW92|journals/tkde/SistlaW95|journals/tods/SistlaWYS98|conf/icde/LiuSYR98|conf/icde/SistlaWCD97|conf/icde/SistlaYV97|conf/sigmod/HuangSW94|conf/sigmod/WolfsonSXZC99|conf/sigmod/SistlaW95|conf/icdt/WolfsonJSCRD99|conf/vldb/SistlaYH94|conf/vldb/SistlaYLL95|journals/sigmod/WolfsonSDNR95|journals/jacm/SistlaC85|journals/dpd/WolfsonSCY99|journals/toplas/ClarkeES86|conf/focs/WolperVS83|conf/ngits/WolfsonSXZCYR99|conf/podc/Sistla85|conf/ride/SistlaWDNR96
A. R. Bender,conf/icde/BlahaPBSKH90
A. Rashid B. M. Shariff,journals/tois/EgenhoferS98
A. Ravichandran,journals/tc/KantR90
A. Ravishankar Rao,journals/expert/RaoJ88
A. Reiter,journals/spe/GudesR73
A. Richard Helm,conf/slp/Helm89|conf/dood/Helm89
A. Robert Calderbank,journals/jacm/CalderbankCF84|journals/jacm/CalderbankCF88
A. Roger Kaye,journals/tois/KayeK87
A. S. Balaian,conf/adbis/Balaian94
A. S. M. Sajeev,conf/pos/HurstS89
A. Sebastio,conf/ssdbm/FortunatoRRS86
A. Sengupta,journals/mms/HiltonJS94
A. Söder,conf/btw/PaulSSW87
A. T. Kutanov,conf/adbis/YouditchkyKK94
A. Tiems,conf/vl/StaesTT91
A. Timothy Maness,conf/sigmod/DintelmanM82|conf/ssdbm/ManessD81|conf/ssdbm/ManessD83|journals/debu/HeilerM84
A. Tjahjana,conf/dexa/OzsoyogluDTHR91
A. Traupe,conf/adl/NikolaiTK98
A. V. Gavrilov,conf/adbis/Gavrilov94
A. V. Morozova,conf/adbis/Morozova94
A. Vashishta,conf/dasfaa/ShahFGRV93|journals/cj/DeenNV81
A. W. Roscoe 0001,journals/jacm/BrookesHR84|conf/rex/SchneiderDJRRR91
A. Y. Lu,conf/icde/LuS91
A. Yahia,conf/er/YahiaLCB96|conf/dexa/YahiaLC96
A. Z. Lieberman,conf/er/Lieberman79
A. Zandi,conf/dcc/ZandiIL93
Aamir Rasheed,conf/adc/RasheedZ96
Aamod Sane,conf/ecoopw/SinghaiSC97
Aarno Lehtola,conf/dasfaa/HyotyniemiL91
Aaron M. Tenenbaum,conf/sigmod/ArnowT84|journals/siamcomp/TenenbaumN82
Aaron Marcus,journals/computer/MarcusD91
Aaron Watters,conf/sigmod/Watters93|conf/pods/BunemanDW88|journals/jcss/BunemanDW91
Aashu Virmani,conf/adbis/ImielinskiV98|conf/kdd/ImielinskiVA96
Abad A. Shah,conf/dasfaa/ShahFGRV93
Abbas Rafii,journals/computer/AhmedSDKKLRS91
Abbe Mowshowitz,journals/ac/Mowshowitz86
Abby Goodrum,conf/sigir/SpinkGRW96
Abdallah A. Abdel-Ghaly,journals/tse/Abdel-GhalyCL86
Abdallah M. Alashqur,conf/icde/AlashqurSL90|conf/vldb/AlashqurSL89
Abdel Aziz Farrag,journals/tods/FarragO89|journals/tse/FarragO87
Abdelaziz Abdellatif,journals/computer/LitwinA86
Abdelkader Hameurlain,conf/cikm/HameurlainM95|conf/dexa/HameurlainM94|conf/dexa/HameurlainMC92
Abdellaziz Abdellatif,journals/isci/LitwinAZN89
Abdelmalek Zeroual,journals/isci/LitwinAZN89
Abdelmoula El-Hamdouchi,journals/cj/El-HamdouchiW89
Abdelsalam Heddaya,journals/tse/SpectorBDDEFHS85|journals/ins/HeddayaHW89
Abdelsalam Helal,journals/tods/LiuHD98|conf/icde/ElmagarmidH88|conf/icde/HelalSB89|conf/sigmod/BohrerBBCFHKKMNRRSUUW97a|conf/sigmod/BohrerBBCFHKKMNRRSUUW97|journals/mms/JiangHEJ98|journals/sigmod/DunhamH95a|journals/csur/JingHE99|journals/monet/DunhamHB97|journals/monet/JingEHA97
Abderrahmane Aggoun,conf/fgcs/DincbasHSAGB88
Abdul Hai,journals/ijmms/HaiK85
Abdul Sattar 0001,conf/icde/SattarG91
Abdulla Bataineh,journals/ipl/BatainehOS91
Abdullah Uz Tansel,journals/tkde/Tansel97|journals/tkde/TanselT97|journals/tods/TanselG92|conf/cikm/GoralwallaTO95|conf/icde/Tansel87|conf/sigmod/TanselG89|conf/sigmod/CliffordT85|journals/isci/Tansel91|journals/tse/TanselAO89|journals/is/Tansel86|conf/ddb/OzkarahanTS82|conf/dagstuhl/JensenDBCEGGHJKKLMMNPPRSSSSSTTW97|conf/dagstuhl/TanselT97|conf/ssdbm/TanselA86|conf/ssdbm/TanselA86a
Abe Lockman,journals/tse/LockmanM82
Abel Weinrib,conf/sigmod/HermanGLW87|journals/cacm/BowenGHHLMRW92
Abhai Johri,journals/tse/GligorCCDHJJLV87
Abhay Mehta,conf/kdd/ClearDHHLMMRSWX99
Abhaya Asthana,conf/cikm/SoparkarKJA95|conf/iwdm/AsthanaJK89|conf/asplos/AhujaA82
Abhijit Chaudhury,journals/tkde/LinCWM93
Abhijit Sahay,conf/ppopp/CullerKPSSSSE93
